what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1340945929319
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1340945929346
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1340945929355
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1340945929362
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1340945929362
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1340945929369
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1340945929381
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1340945929381
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1340945929386
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1340945929396
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1340945929404
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1340945929408
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1340945929426
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1340945929431
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1340945929431
os,sysinfo,,,"linux",1340945929433
arch,sysinfo,,,"x86",1340945929433
ws,sysinfo,,,"gtk",1340945929433
locale,sysinfo,,,"en_IN",1340945929433
processors,sysinfo,,,"4",1340945929433
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1340945929433
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1340945929433
java.specification.name,sysinfo,,,"Java Platform API Specification",1340945929433
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340945929433
java.specification.version,sysinfo,,,"1.6",1340945929433
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1340945929433
java.version,sysinfo,,,"1.6.0_24",1340945929433
java.vm.info,sysinfo,,,"mixed mode, sharing",1340945929433
java.vm.name,sysinfo,,,"OpenJDK Client VM",1340945929433
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340945929433
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340945929433
java.vm.specification.version,sysinfo,,,"1.0",1340945929433
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1340945929433
java.vm.version,sysinfo,,,"20.0-b12",1340945929433
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1340945929532
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1340945998154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340946038302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340946038967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340946040198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340946110588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340946111856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340946707840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340946745803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340946835075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340946943744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340947138617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340947215880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340947422415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340947664056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340948574088
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340948579387
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340948579410
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340948597017
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1340948597280
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340948604419
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340948604454
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340948604467
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340948609471
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1340948618022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340948618670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340948620033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340948699873
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1340948707896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340948707908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1340948715513
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1340948717962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340948720249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340948739703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340948949465
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340948952458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340948952478
started,bundle,org.eclipse.mylyn.java.tasks,3.7.0.v20120319-0200,"org.eclipse.mylyn.java.tasks",1340948964183
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340948976091
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340948977064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340948978582
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340948982649
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340948982650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340948982681
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340948999503
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340949004268
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340949004374
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340949004398
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340949004409
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340949006849
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1340949023128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340949024267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340949026863
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1340949152455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340949153628
error,log,,,"Internal Error",1340949155740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340949155744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340949167310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340949168878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340949170875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340949183082
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340949207833
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340949207861
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340949210476
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340949215980
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340949216004
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1340949230607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340949231766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340949233859
started,bundle,org.eclipse.mylyn.java.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.java.ui",1340949239691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340949239820
